id;money;avg_salary;sal_cat;cat_exp;last_job_diff_cat;save_date_diff_cat;kmeans
267417;60000;43212.38425925926;8.0;2;3;1;4
267435;60000;36675.800842221644;10.0;2;3;3;5
267440;10378;16405.274202271496;4.0;1;1;1;1
267462;45000;32923.67768595041;8.0;3;3;3;5
267502;36713;48393.909779614325;4.0;2;3;3;3
267524;11176;17357.721377786118;4.0;1;1;1;1
267525;23000;32923.67768595041;4.0;2;2;1;2
267528;70000;46645.73129146258;10.0;3;3;3;5
267547;25962;35946.745562130185;4.0;3;3;2;3
267569;35000;35155.188590729966;6.0;2;3;2;3
267571;13786;20608.375401662048;4.0;1;1;1;1
267574;30000;48207.2275862069;4.0;2;2;3;3
267585;30735;39554.328922495275;4.0;3;5;1;3
267591;37821;48523.83604366228;4.0;3;5;3;4
267600;30000;29623.01496598639;6.0;3;2;2;3
267603;33904;43639.66451767394;4.0;2;4;3;3
267606;23564;29623.01496598639;4.0;2;3;3;3
267633;30000;20608.375401662048;10.0;2;1;1;4
267640;45000;48207.2275862069;6.0;2;3;2;3
267642;35000;38656.97830338629;6.0;2;3;1;3
267671;27000;38656.97830338629;4.0;2;4;3;3
267686;35000;45731.83154799412;4.0;2;4;1;3
267699;12859;19439.779774927363;4.0;1;1;1;1
267701;40000;42689.332762789956;6.0;2;3;2;3
267714;30824;44056.558313004316;4.0;2;3;3;3
267734;30000;38656.97830338629;4.0;2;3;2;3
267742;20000;17839.94490358127;6.0;1;1;1;2
267762;27951;38647.76710867246;4.0;3;2;1;2
267777;30000;39987.24489795918;4.0;2;2;2;2
267817;30360;43718.4;4.0;3;5;3;4
267820;11818;17839.94490358127;4.0;2;3;3;3
267824;24000;32000.0;4.0;3;5;3;4
267826;11818;17839.94490358127;4.0;1;1;1;1
267834;28524;34022.717375526205;4.0;3;4;1;3
267839;40000;39861.59169550173;6.0;3;3;2;4
267861;45000;44126.92408186965;6.0;3;1;3;3
267863;30000;30311.333333333332;6.0;2;1;3;3
267869;60000;46304.98145956608;8.0;3;3;2;4
267882;25000;51186.28140408162;2.0;2;1;3;2
267886;20000;21421.818240288136;6.0;2;1;2;3
267896;30000;21421.818240288136;8.0;2;3;2;4
267917;36160;49194.26041103299;4.0;3;1;3;3
267935;36160;49194.26041103299;4.0;3;3;3;3
267993;50000;38915.04451486343;8.0;3;3;1;4
267995;30000;48257.023933402714;4.0;2;3;3;3
268021;40000;48257.023933402714;4.0;2;3;3;3
268028;40000;44069.287273997725;6.0;2;1;2;3
268040;70000;49646.32832200198;8.0;3;2;3;4
268044;45000;40316.666666666664;6.0;3;2;3;4
268145;80000;54593.53870325169;10.0;3;3;3;5
268167;45939;56807.66044313015;4.0;3;3;1;3
268182;80000;54593.53870325169;10.0;2;3;3;5
268185;31962;42091.701752814355;4.0;3;1;1;2
268186;60000;56807.66044313015;6.0;3;1;2;3
268194;55000;62792.96875;6.0;3;3;3;4
268208;31161;40459.64457138995;4.0;2;3;1;2
268221;50000;59529.82966501137;4.0;2;3;3;3
268238;50000;54593.53870325169;6.0;3;2;3;4
268243;120000;57294.47244094488;10.0;3;2;3;5
268247;30000;49169.28332556673;4.0;2;3;3;3
268267;40000;52330.83681581464;4.0;2;2;3;3
268291;60000;58287.26881377552;6.0;3;1;3;3
268294;45000;57294.47244094488;4.0;3;1;2;2
268295;50000;57294.47244094488;6.0;2;3;3;4
268315;50000;52330.83681581464;6.0;3;4;1;4
268325;55921;68347.44268077602;4.0;3;3;3;3
268334;15000;28425.398860072793;2.0;1;1;1;1
268351;17476;26963.265306122452;4.0;2;1;1;2
268364;25000;40325.28113286131;4.0;2;2;2;2
268368;31667;42222.222222222226;4.0;3;5;3;4
268369;20000;35555.555555555555;4.0;2;2;2;2
268384;30014;42005.71428571428;4.0;3;3;1;3
268385;40000;55787.75510204082;4.0;3;5;3;4
268412;50000;55787.75510204082;6.0;3;3;2;4
268413;60000;55787.75510204082;6.0;3;3;3;4
268417;20000;32653.061224489793;4.0;1;1;1;1
268479;51061;72177.91813035273;4.0;3;4;3;4
268487;180000;94328.60848725063;10.0;3;2;3;5
268511;50000;63581.31487889273;4.0;3;3;3;3
268519;51061;72177.91813035273;4.0;3;4;3;4
268548;40000;33866.305705955856;8.0;2;2;3;4
268565;30000;19740.405977977156;10.0;1;1;1;3
268586;55000;60546.967895362664;6.0;3;4;1;4
268598;40000;55426.984126984134;4.0;2;3;1;2
268610;35000;42221.16527942925;4.0;2;2;3;3
268621;70000;55426.984126984134;8.0;2;3;1;4
268626;45000;73753.69822485208;4.0;2;3;2;3
268651;14518;21592.537893074863;4.0;1;1;1;1
268665;32683;41728.15853658537;4.0;2;3;3;3
268671;50000;43723.865877712036;6.0;3;3;3;4
268696;200000;48972.812654473564;10.0;3;3;3;5
268702;50000;33389.95968008461;10.0;2;3;3;5
268727;35000;45555.55555555555;4.0;3;3;3;3
