<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
27/08/19;00:00;54.4000000;55.0000000;54.0000000;54.5000000;8000
28/08/19;00:00;55.0000000;56.5000000;54.5000000;55.3000000;19300
29/08/19;00:00;55.4000000;57.7000000;55.0000000;57.2000000;119900
30/08/19;00:00;56.6000000;57.5000000;55.5000000;57.0000000;27220
02/09/19;00:00;56.5000000;58.4000000;56.0000000;57.1000000;15720
03/09/19;00:00;57.3000000;58.2000000;56.7000000;57.9000000;21200
04/09/19;00:00;58.1000000;59.0000000;57.3000000;58.5000000;22470
05/09/19;00:00;57.6000000;59.4000000;57.5000000;58.8000000;20700
06/09/19;00:00;57.9000000;58.9000000;57.5000000;57.6000000;9230
09/09/19;00:00;57.7000000;60.8000000;56.9000000;57.4000000;38110
10/09/19;00:00;57.3000000;57.9000000;56.4000000;57.2000000;12590
11/09/19;00:00;56.7000000;57.8000000;55.0000000;57.6000000;17670
12/09/19;00:00;57.7000000;58.4000000;57.0000000;57.7000000;6010
13/09/19;00:00;57.0000000;58.5000000;56.7000000;57.8000000;17870
16/09/19;00:00;57.9000000;57.9000000;57.0000000;57.9000000;8290
17/09/19;00:00;57.6000000;58.1000000;57.4000000;58.0000000;6050
18/09/19;00:00;57.5000000;59.4000000;57.5000000;58.6000000;7690
19/09/19;00:00;58.6000000;58.8000000;57.5000000;57.8000000;7430
20/09/19;00:00;58.1000000;58.8000000;57.6000000;58.7000000;5970
23/09/19;00:00;58.7000000;59.2000000;57.6000000;58.2000000;17660
24/09/19;00:00;58.5000000;58.5000000;58.0000000;58.3000000;1690
25/09/19;00:00;59.0000000;59.0000000;57.5000000;57.9000000;8790
26/09/19;00:00;58.3000000;58.3000000;57.5000000;57.6000000;2360
27/09/19;00:00;58.0000000;58.3000000;53.6000000;56.5000000;29990
30/09/19;00:00;56.5000000;65.5000000;56.3000000;60.1000000;342610
01/10/19;00:00;59.2000000;61.5000000;58.1000000;60.0000000;56060
02/10/19;00:00;60.8000000;60.8000000;58.4000000;59.7000000;18620
03/10/19;00:00;61.0000000;61.0000000;58.3000000;59.1000000;17080
04/10/19;00:00;59.9000000;59.9000000;56.9000000;57.8000000;40960
07/10/19;00:00;57.2000000;58.2000000;57.1000000;57.8000000;5470
08/10/19;00:00;58.0000000;58.0000000;56.3000000;56.3000000;11850
09/10/19;00:00;56.4000000;59.3000000;56.4000000;58.3000000;22290
10/10/19;00:00;58.0000000;58.6000000;57.6000000;57.7000000;1530
11/10/19;00:00;58.7000000;59.0000000;56.5000000;57.0000000;16960
14/10/19;00:00;57.1000000;57.6000000;56.5000000;56.7000000;7300
15/10/19;00:00;56.3000000;58.5000000;56.2000000;56.8000000;17440
16/10/19;00:00;56.2000000;58.0000000;56.1000000;57.0000000;16220
17/10/19;00:00;58.2000000;58.2000000;56.6000000;57.2000000;9710
18/10/19;00:00;57.6000000;57.6000000;56.8000000;57.3000000;8980
21/10/19;00:00;58.1000000;58.1000000;56.6000000;57.1000000;2260
22/10/19;00:00;57.7000000;57.8000000;56.7000000;57.3000000;18640
23/10/19;00:00;56.9000000;57.1000000;56.4000000;56.6000000;21620
24/10/19;00:00;57.0000000;57.4000000;55.0000000;56.7000000;44420
25/10/19;00:00;55.8000000;56.7000000;55.8000000;56.6000000;7010
28/10/19;00:00;56.8000000;56.9000000;54.5000000;56.4000000;14830
29/10/19;00:00;56.4000000;56.5000000;55.8000000;56.2000000;7740
30/10/19;00:00;56.0000000;56.3000000;55.6000000;55.7000000;14140
31/10/19;00:00;55.9000000;56.7000000;55.9000000;56.1000000;15110
01/11/19;00:00;56.2000000;56.6000000;55.8000000;56.2000000;11580
05/11/19;00:00;56.4000000;56.7000000;55.8000000;56.5000000;19290
06/11/19;00:00;56.8000000;57.0000000;56.2000000;56.6000000;13010
07/11/19;00:00;56.8000000;57.2000000;56.5000000;57.0000000;9770
08/11/19;00:00;57.2000000;58.1000000;56.9000000;58.0000000;159520
11/11/19;00:00;57.8000000;58.7000000;57.5000000;57.6000000;19650
12/11/19;00:00;58.3000000;58.3000000;57.6000000;57.9000000;9890
13/11/19;00:00;58.2000000;58.2000000;56.0000000;57.4000000;16450
14/11/19;00:00;56.9000000;57.7000000;56.8000000;57.0000000;2320
15/11/19;00:00;57.4000000;57.4000000;56.6000000;56.9000000;7470
18/11/19;00:00;57.3000000;57.3000000;56.2000000;56.4000000;9810
